,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2014-01-01,0.243,202,170,385,46%,61%,0%,0%,0%,78,31,3467,4.2,2.8,616,0,0,0,2,2581,163,167,3374,177,2,164,2542,750,169,0,0,835,0,0,0,220,0,0,0,168799
2014-01-02,0.275,256,316,799,40%,46%,0%,0%,0%,184,91,10634,5.3,5.9,2925,0,0,0,17,7255,492,581,8946,566,17,533,6469,1795,364,0,0,2013,0,0,0,495,0,0,0,515282
2014-01-03,0.258,249,396,686,40%,43%,0%,0%,0%,165,165,8594,5.1,6.4,2485,0,0,0,18,5943,415,496,7499,453,16,463,5528,1549,309,0,0,1701,0,0,0,387,0,0,0,422992
2014-01-04,0.333,278,332,420,46%,52%,0%,0%,0%,537,107,4329,4.8,6.4,1435,0,0,0,1,2353,192,192,3144,206,1,181,2325,813,173,0,0,909,0,0,0,225,0,0,0,253053
2014-01-05,0.353,192,228,479,48%,53%,0%,0%,0%,94,47,4152,4.2,4.7,979,0,0,0,3,2978,186,174,3782,190,2,168,2853,912,167,0,0,1000,0,0,0,210,0,0,0,191646
2014-01-06,0.322,241,382,1193,40%,44%,0%,0%,0%,576,576,15739,5.3,8.2,5235,0,0,0,13,11169,500,711,13884,725,13,653,9536,2674,486,0,0,2956,0,0,0,635,0,0,0,713221
2014-01-07,0.284,253,396,985,38%,38%,0%,0%,0%,497,497,13683,5.3,7.6,4613,0,0,0,49,9452,500,703,11751,820,44,641,8569,2304,447,0,0,2568,0,0,0,604,0,0,0,650036
2014-01-08,0.379,277,379,863,41%,41%,0%,0%,0%,383,105,10489,5,6.1,3516,0,0,0,27,6644,500,510,8481,755,22,470,6305,1869,435,0,0,2099,0,0,0,579,0,0,0,581462
2014-01-09,0.512,262,323,804,43%,49%,0%,0%,0%,114,114,9022,4.8,5.4,2578,0,0,0,17,6064,491,488,7679,564,17,458,5509,1699,363,0,0,1887,0,0,0,479,0,0,0,494716
2014-01-10,0.286,272,400,734,44%,45%,0%,0%,0%,325,325,8434,5.1,6.8,3195,0,0,0,20,5938,500,439,7152,577,18,385,4958,1467,346,0,0,1650,0,0,0,467,0,0,0,448245
2014-01-11,0.304,197,225,375,50%,59%,0%,0%,0%,88,63,3208,4.3,4.1,804,0,0,0,5,2136,192,139,2780,203,3,132,1969,668,142,0,0,744,0,0,0,198,0,0,0,146930
2014-01-12,0.351,201,228,427,45%,55%,0%,0%,0%,158,69,4119,4.3,4.2,1077,0,0,0,8,3023,203,197,3668,225,6,184,2771,857,194,0,0,955,0,0,0,258,0,0,0,192342
2014-01-13,0.293,261,368,836,42%,44%,0%,0%,0%,290,115,10686,5.4,6.2,3134,0,0,0,24,7422,500,635,8947,741,20,485,6045,1783,382,0,0,1980,0,0,0,504,0,0,0,517407
2014-01-14,0.312,279,364,883,45%,43%,0%,0%,0%,528,126,9713,5,5.5,2855,0,0,0,28,6029,500,508,7661,619,25,469,5456,1761,398,0,0,1962,0,0,0,522,0,0,0,547703
2014-01-15,0.368,272,355,880,44%,43%,0%,0%,0%,174,168,10562,5.2,6.6,3587,0,0,0,11,7093,500,498,9143,613,9,457,6664,1813,433,0,0,2014,0,0,0,542,0,0,0,547780
2014-01-16,0.389,298,211,697,44%,48%,0.57%,0.44%,0.93%,125,55,7476,4.8,4.5,1944,9,5,4,8,4984,391,386,6193,444,8,344,4402,1427,349,0,0,1570,9,5,4,431,0,0,0,467137
2014-01-17,0.363,241,178,360,48%,54%,0%,0%,0%,154,15,3164,4.2,2.7,124,0,0,0,12,2185,240,88,2661,252,11,79,1967,721,41,0,0,755,0,0,0,46,0,0,0,182198
2014-01-18,0.414,174,276,439,49%,57%,15.88%,15.24%,20.35%,120,120,3890,4.4,6.5,739,325,261,64,16,2767,178,144,3583,189,15,129,2574,821,84,0,0,894,142,119,23,113,0,0,0,155261
2014-01-19,0.398,255,298,558,45%,54%,25.46%,25.49%,25.27%,115,115,5782,4.6,5,901,823,715,108,34,4054,212,192,5277,225,27,175,3926,1134,119,0,0,1253,319,273,46,182,0,0,0,320082
2014-01-20,0.409,250,356,969,43%,52%,25.85%,25.91%,25.45%,316,316,10913,4.9,6.2,2050,1605,1172,433,58,7015,500,332,9502,684,53,297,6762,2041,249,0,0,2248,581,497,84,330,0,0,0,563117
2014-01-21,0.379,226,288,1083,45%,51%,26.7%,26.61%,27.18%,162,162,11291,4.7,5.6,2106,1483,1185,298,35,7874,500,335,10004,667,33,286,7452,2203,286,0,0,2401,641,538,103,379,0,0,0,541756
2014-01-22,0.379,226,286,985,46%,49%,25.78%,25.54%,26.82%,295,120,10572,4.9,5.2,2065,1196,941,255,46,6923,500,283,9286,613,44,263,6640,1953,300,0,0,2161,557,450,107,399,0,0,0,488957
2014-01-23,0.35,216,354,961,44%,43%,23.65%,23%,26.61%,164,164,9968,4.6,5.7,2203,1270,1019,251,45,7124,500,292,8823,604,37,254,6304,1979,285,0,0,2178,515,412,103,387,0,0,0,471164
2014-01-24,0.314,227,360,1148,49%,46%,23.96%,23.29%,27.16%,587,203,10699,4.6,6.5,2624,1259,980,279,43,7396,470,295,9039,535,38,264,6342,2164,294,0,0,2350,563,453,110,405,0,0,0,534548
2014-01-25,0.402,203,305,543,50%,51%,22.06%,21.71%,23.86%,102,72,4041,3.7,4.2,737,510,389,121,29,2765,190,108,3577,216,28,97,2667,1001,133,0,0,1079,238,196,42,176,0,0,0,218779
2014-01-26,0.466,183,217,568,48%,54%,18.93%,18.6%,20.62%,86,62,4606,3.9,3.8,743,505,404,101,30,3228,254,106,4112,277,24,93,3000,1094,149,0,0,1183,224,184,40,194,0,0,0,216055
2014-01-27,0.318,218,296,1238,47%,45%,23.45%,22.25%,28.46%,505,505,11509,4.4,6.1,3097,1460,1037,423,85,8034,500,324,10090,677,75,298,7027,2387,382,0,0,2627,616,472,144,506,0,0,0,571575
2014-01-28,0.334,261,394,973,44%,46%,23.24%,22.57%,25.97%,134,134,11354,5.1,6.4,2805,1455,1002,453,40,8211,500,301,9959,675,37,281,7266,2022,336,0,0,2220,516,402,114,439,0,0,0,580236
2014-01-29,0.383,217,385,1383,49%,45%,24.94%,24.78%,25.57%,300,300,12543,4.4,6.5,3726,1571,1183,388,43,8539,500,407,10961,758,38,371,8071,2575,408,0,0,2851,711,565,146,571,0,0,0,618073
2014-01-30,0.356,244,364,1063,42%,43%,29.25%,27.84%,34.66%,91,91,12081,4.7,6.1,3195,1816,1366,450,53,8471,500,349,10368,785,49,322,7673,2286,393,0,0,2550,746,563,183,528,0,0,0,623340
2014-01-31,0.358,228,322,778,43%,42%,26.48%,25.67%,29.11%,118,118,8528,4.7,5.7,2423,1103,844,259,42,6177,472,247,7523,532,37,225,5508,1612,304,0,0,1805,478,354,124,426,0,0,0,411439
2014-02-01,0.369,224,348,465,49%,47%,24.12%,22.72%,29.89%,91,67,3985,4.2,5.2,964,617,449,168,14,2751,209,120,3451,225,14,108,2538,868,139,0,0,941,227,172,55,184,0,0,0,210597
2014-02-02,0.343,195,320,518,50%,50%,22.92%,20.24%,33.82%,202,202,4315,4.2,6.8,1383,684,341,343,14,2875,220,75,3927,239,12,69,2900,942,157,0,0,1034,237,168,69,204,0,0,0,201826
2014-02-03,0.38,214,339,1062,48%,42%,22.68%,21.31%,27.86%,101,101,9371,4.2,5.4,2522,1347,888,459,39,6534,500,272,8205,583,36,248,6155,1989,345,0,0,2209,501,372,129,463,0,0,0,473733
2014-02-04,0.424,256,415,926,45%,44%,23.04%,22.39%,25.33%,240,127,9974,4.8,6.8,3074,1087,794,293,25,7025,500,234,8682,611,25,221,6353,1873,345,0,0,2062,475,361,114,450,0,0,0,528876
2014-02-05,0.38,259,367,885,44%,43%,23.71%,22.86%,26.59%,551,94,10049,5,5.6,2557,1267,958,309,47,6834,500,229,8692,715,33,218,6225,1808,342,0,0,2012,477,356,121,455,0,0,0,520108
2014-02-06,0.349,262,406,842,43%,44%,23.13%,22.1%,26.24%,125,125,9839,5,6.5,3125,1023,733,290,32,6934,500,247,8574,653,30,229,5998,1763,376,0,0,1950,451,324,127,484,0,0,0,510263
2014-02-07,0.333,315,404,679,42%,45%,25.37%,24.31%,28.28%,1382,326,10367,6.4,8.1,3506,1085,656,429,31,6322,500,220,7646,666,30,201,5342,1433,310,0,0,1624,412,289,123,435,0,0,0,511608
2014-02-08,0.424,189,238,484,50%,55%,23.01%,23.4%,21.31%,57,41,3578,3.7,4.1,747,500,392,108,12,2473,222,93,3235,240,12,86,2459,880,136,0,0,965,222,183,39,183,0,0,0,182146
2014-02-09,0.363,221,355,401,47%,45%,24.27%,23.13%,28.65%,191,191,4092,4.8,8.6,1528,644,362,282,14,2853,187,101,3554,200,14,99,2724,786,138,0,0,861,209,158,51,178,0,0,0,189937
2014-02-10,0.325,238,306,997,46%,44%,24.66%,24.82%,24.14%,150,150,10182,4.7,5.8,2901,1175,892,283,21,7192,500,269,8988,584,20,247,6399,1925,362,0,0,2145,529,409,120,497,0,0,0,509702
2014-02-11,0.332,283,382,1006,45%,42%,26.63%,25.16%,31.37%,404,199,12206,5.5,7.2,3786,1450,1021,429,50,8278,500,294,10337,709,39,271,7220,2002,395,0,0,2223,592,427,165,526,0,0,0,629239
2014-02-12,0.349,243,413,1056,43%,43%,26.24%,26.2%,26.35%,388,168,12469,5.1,6.8,3753,1799,1322,477,37,8875,500,330,10935,735,28,312,7688,2184,398,0,0,2428,637,491,146,554,0,0,0,588843
2014-02-13,0.385,205,349,1454,49%,42%,25.68%,25.18%,27.55%,182,182,12152,4.1,6.1,3760,1684,1212,472,44,8437,500,402,10690,688,43,369,7990,2679,459,0,0,2956,759,589,170,617,0,0,0,605712
2014-02-14,0.334,234,362,958,48%,46%,28.87%,27.67%,32.41%,655,655,9626,4.9,8,4013,1339,929,410,18,7166,476,240,8515,583,18,217,5754,1776,380,0,0,1981,572,409,163,503,0,0,0,463190
2014-02-15,0.405,226,372,463,48%,56%,25.6%,23.91%,31.11%,91,78,4138,4.3,5.3,1188,653,413,240,15,2852,251,117,3591,276,15,110,2750,862,171,0,0,957,245,175,70,225,0,0,0,216555
2014-02-16,0.347,174,248,511,51%,48%,26.16%,25.25%,29.76%,62,62,3937,3.9,4.3,888,599,433,166,21,2491,258,138,3342,270,21,126,2602,929,153,0,0,1009,264,203,61,205,0,0,0,175859
2014-02-17,0.371,240,383,1047,47%,45%,28.49%,27.84%,30.41%,329,329,10195,4.6,6.8,3777,1444,990,454,36,7224,500,256,8894,642,32,240,6177,1985,419,0,0,2208,629,459,170,559,0,0,0,530532
2014-02-18,0.39,228,322,1061,47%,47%,28.23%,28.41%,27.69%,460,460,10637,4.7,6.2,3509,1407,1062,345,37,7615,500,252,9262,635,32,237,6519,2060,440,0,0,2281,644,487,157,567,0,0,0,520284
2014-02-19,0.407,235,367,1166,46%,43%,28.73%,26.8%,34.55%,138,138,10982,4.3,6.1,3832,1822,1185,637,50,7610,500,321,9424,704,46,304,7067,2261,477,0,0,2534,728,510,218,631,0,0,0,596231
2014-02-20,0.332,285,417,1212,41%,43%,32.48%,32.13%,33.69%,500,362,16195,5.5,7.1,4683,2522,1853,669,47,11889,500,453,13843,1063,46,438,9858,2644,516,0,0,2922,949,727,222,659,0,0,0,833068
2014-02-21,0.347,218,339,1108,49%,49%,27.51%,27.11%,28.64%,360,360,9872,4.4,6.2,3643,1499,1093,406,43,7274,495,282,8815,543,38,270,6217,2020,428,0,0,2261,622,453,169,590,0,0,0,492041
2014-02-22,0.482,214,281,541,53%,53%,22.59%,22.57%,22.66%,295,64,4285,4.2,4.6,1189,623,496,127,15,3127,218,110,3796,233,14,105,2860,912,186,0,0,1018,230,172,58,256,0,0,0,218225
2014-02-23,0.418,199,262,592,55%,59%,22.94%,23.72%,20.71%,73,73,3925,3.6,4,1112,614,445,169,20,2622,207,142,3515,219,19,133,2610,969,216,0,0,1081,248,190,58,280,0,0,0,215159
2014-02-24,0.378,201,233,1244,50%,50%,26.63%,26.9%,25.89%,1218,48,10179,4.1,4.1,2632,1407,1016,391,35,6265,500,357,7865,555,34,332,6087,2211,465,0,0,2482,661,493,168,649,0,0,0,499659
2014-02-25,0.4,197,327,1406,52%,47%,30.07%,28.02%,36.38%,221,221,11056,4.1,5.5,3676,1931,1198,733,70,7722,500,337,9466,666,58,324,7062,2459,502,0,0,2720,818,575,243,668,0,0,0,536321
2014-02-26,0.352,229,338,1143,50%,49%,28.88%,28.83%,29.01%,159,146,9779,4.3,5.2,3214,1643,1092,551,50,6848,500,319,8310,665,45,301,6117,2057,469,0,0,2289,661,480,181,624,0,0,0,523305
2014-02-27,0.563,220,318,1160,51%,48%,28.5%,28.65%,28.09%,208,208,9338,4.1,5.1,3184,1472,1013,459,34,6560,500,291,8134,635,31,275,6114,2030,488,0,0,2260,644,469,175,623,0,0,0,496154
2014-02-28,0.47,198,306,1195,53%,49%,31.71%,32.16%,30.36%,111,111,8393,3.7,4.7,2625,1575,1121,454,30,5750,469,327,7324,503,29,302,5577,2044,435,0,0,2242,711,541,170,560,0,0,0,443366
2014-03-01,0.404,160,218,528,53%,59%,24.55%,25.1%,22.78%,90,90,3574,3.6,3.9,921,512,359,153,16,2454,195,132,3186,203,16,120,2367,907,172,0,0,1002,246,192,54,237,0,0,0,160365
2014-03-02,0.35,197,315,561,55%,53%,24.43%,24.05%,25.59%,89,78,3772,3.7,4.6,1168,632,382,250,12,2414,237,113,3354,256,12,104,2531,907,182,0,0,1015,248,183,65,254,0,0,0,200085
2014-03-03,0.323,147,276,6812,70%,56%,34.3%,34.27%,34.65%,129,129,22773,2.4,4,3576,6019,5372,647,55,15929,500,559,20645,1030,53,530,16670,9205,722,0,0,9664,3315,3007,308,889,0,0,0,1424279
2014-03-04,0.399,228,335,1986,54%,47%,31.86%,31.43%,33.66%,767,100,14335,3.9,5.1,3664,2561,1917,644,62,8913,500,406,11830,778,54,367,8917,3417,578,0,0,3688,1175,935,240,713,0,0,0,839068
2014-03-05,0.384,253,341,1194,50%,44%,28.23%,27.51%,30.11%,175,175,10030,4.2,5.4,3596,1599,1049,550,38,6816,500,282,8574,688,33,263,6312,2171,524,0,0,2395,676,477,199,661,0,0,0,605593
2014-03-06,0.389,226,315,1051,49%,45%,28.33%,27.27%,31.05%,123,123,8983,4.2,5.6,3332,1434,914,520,43,6472,483,259,7925,550,37,239,5861,1922,465,0,0,2132,604,418,186,599,0,0,0,480852
2014-03-07,0.412,220,324,932,49%,46%,28.35%,27.2%,31.51%,509,509,8804,4.6,6.9,3504,1065,711,354,20,6387,424,235,7747,478,18,215,5453,1751,412,0,0,1919,544,383,161,511,0,0,0,422429
2014-03-08,0.391,177,295,472,53%,55%,24.39%,22.78%,29.28%,70,51,3102,3.5,4,882,488,305,183,10,2259,182,80,2785,190,9,77,2090,827,181,0,0,898,219,154,65,222,0,0,0,158947
2014-03-09,0.354,154,242,605,56%,53%,21.73%,20.54%,26.09%,80,80,3454,3.2,4,915,488,341,147,21,2395,182,90,3137,189,18,85,2357,989,178,0,0,1077,234,174,60,230,0,0,0,166168
2014-03-10,0.644,239,354,1057,49%,44%,26.66%,25.14%,31.58%,443,186,10169,4.7,7.2,3680,1282,844,438,21,6975,500,247,8493,643,21,215,6144,1990,422,0,0,2168,578,416,162,513,0,0,0,518739
2014-03-11,0.377,234,431,1256,50%,45%,28.48%,26.69%,33.93%,180,180,10533,4.2,5.9,3636,1791,1229,562,41,7058,500,302,9136,669,40,281,6503,2260,480,0,0,2493,710,501,209,616,0,0,0,584602
2014-03-12,0.426,220,353,1259,50%,43%,29.99%,28.32%,34.88%,118,88,10150,4,5,3201,1863,1220,643,14,7347,500,265,8754,736,14,244,6516,2292,494,0,0,2534,760,535,225,645,0,0,0,556329
2014-03-13,0.386,231,287,1249,48%,45%,30.13%,29.64%,32.01%,194,104,9714,3.8,4.7,2486,1880,1406,474,50,6413,500,257,7880,917,45,232,5843,2407,431,0,0,2579,777,608,169,528,0,0,0,596974
2014-03-14,0.411,239,413,988,47%,44%,29.26%,28.31%,32.44%,212,113,8842,4.2,5.4,2602,1513,1092,421,88,5877,492,184,7284,755,46,178,5320,1938,391,0,0,2102,615,458,157,484,0,0,0,502282
2014-03-15,0.36,174,282,608,51%,49%,26.26%,25.62%,29.09%,297,297,4473,3.8,6,1325,633,495,138,5,3387,246,104,4106,300,5,100,2887,1105,173,0,0,1188,312,248,64,220,0,0,0,206301
2014-03-16,0.357,142,249,827,56%,50%,27.96%,27.44%,30.67%,309,309,4962,3.3,5.9,1393,1043,740,303,12,3404,259,127,4328,312,10,114,3189,1406,193,0,0,1488,416,343,73,238,0,0,0,211082
2014-03-17,0.362,178,233,1522,51%,43%,31.75%,31.34%,33.58%,244,215,10746,3.6,4.7,2561,2151,1582,569,26,7766,500,248,9378,763,25,235,6908,2804,447,0,0,2989,949,765,184,548,0,0,0,531223
2014-03-18,0.449,206,307,1639,50%,47%,31.2%,30.54%,33.67%,152,152,12018,3.7,4.9,3441,2299,1669,630,34,8127,500,319,10340,905,31,296,7734,3008,572,0,0,3272,1021,786,235,698,0,0,0,673178
2014-03-19,0.355,206,291,1314,50%,46%,30.7%,30.06%,32.99%,148,148,10018,3.8,4.7,2724,1826,1303,523,44,6769,500,243,8674,777,41,228,6456,2444,479,0,0,2625,806,615,191,579,0,0,0,541984
2014-03-20,0.378,162,253,1569,56%,46%,31.65%,31%,33.87%,99,94,9530,3.4,4.7,2946,1605,1133,472,30,6603,500,232,8322,685,29,216,6428,2571,500,0,0,2787,882,670,212,626,0,0,0,450700
2014-03-21,0.404,183,293,1112,49%,45%,30.23%,29%,34.28%,101,101,8567,3.8,5.2,2769,1495,1049,446,25,5948,500,211,7330,654,23,199,5523,2078,425,0,0,2259,683,502,181,528,0,0,0,413409
2014-03-22,0.375,167,271,726,55%,55%,27.14%,27.16%,27.02%,134,134,4417,3.3,4.8,1193,856,630,226,12,3145,233,130,3900,327,10,120,2881,1228,191,0,0,1323,359,292,67,248,0,0,0,221101
2014-03-23,0.388,131,249,1309,56%,49%,25.22%,24.43%,30.28%,91,87,6849,2.9,4.7,1496,1129,873,256,19,4828,364,184,5981,550,17,173,4693,2228,260,0,0,2347,592,496,96,317,0,0,0,307637
2014-03-24,0.424,211,299,1768,50%,39%,28.19%,26.9%,32.86%,968,245,14315,4,5,3883,2157,1542,615,44,9098,500,400,11340,986,37,360,8460,3253,592,0,0,3565,1005,751,254,773,0,0,0,750546
2014-03-25,0.327,225,352,1510,49%,42%,30.08%,28.01%,37.11%,151,151,12404,4,5.7,3997,2236,1455,781,37,8671,500,315,10812,808,34,296,7867,2824,560,0,0,3072,924,665,259,698,0,0,0,690736
2014-03-26,0.334,244,380,1378,48%,40%,30.63%,29.05%,35.51%,192,192,11371,4,5.6,3969,1984,1244,740,54,7735,500,367,9570,697,48,331,6927,2608,518,0,0,2876,881,631,250,704,0,0,0,700636
2014-03-27,0.374,229,320,1314,47%,41%,31.63%,30.47%,34.81%,152,152,11937,4.3,5.8,4309,2134,1334,800,55,8501,500,350,10342,752,54,326,7471,2527,577,0,0,2779,879,620,259,744,0,0,0,636534
2014-03-28,0.358,234,309,1213,50%,43%,27.81%,26.41%,31.68%,192,113,9802,4.1,5,3232,1555,1066,489,34,6841,500,265,8370,642,32,247,6135,2189,503,0,0,2416,672,468,204,644,0,0,0,565076
